name,description,regular_price,sale_price,stock,sku,category,image_url
Chuột không dây Apple Magic Mouse Black Multi-Touch Surface,,1999000,1899000,100,phukien,https://shopdunk.com/images/thumbs/0033176_white.jpeg
Phụ kiện Apple Sạc 30W USB-C Power Adapter MW2G3ZA/A,,,859000,100,phukien,https://shopdunk.com/images/thumbs/0045751_phu-kien-apple-sac-30w-usb-c-power-adapter-mw2g3zaa.png
Apple TV 4K Wi-Fi 64GB 2022,,4999000,3290000,100,phukien,https://shopdunk.com/images/thumbs/0012109_apple-tv-4k-wi-fi-64gb-2022.jpeg
Ốp Đệm cho iPhone Air,,,1170000,100,phukien,https://shopdunk.com/images/thumbs/0049439_xanh-duong-nhat.jpeg
Apple AirTag,,790000,690000,100,phukien,https://shopdunk.com/images/thumbs/0003649_apple-airtag.png
Dây đeo Watch 40mm Modern Buckle - Medium - Chính hãng Apple,,,2490000,100,phukien,https://shopdunk.com/images/thumbs/0003759_garnet.jpeg
Ốp Lưng Trong Suốt MagSafe cho iPhone 17 Pro,,,1403000,100,phukien,https://shopdunk.com/images/thumbs/0049293_op-lung-trong-suot-magsafe-cho-iphone-17-pro.jpeg
